,movietitle,harmful,certificate,distributorstürk,keywordscontentspoint,CompanyNamesAverage,directorpoint,CastPuan,producerpoint,distributorspoint,GenreesPoint,Label,Harmful Number,CertificateEncoded,Label Yeni
350,Kara Yazi,[],0,['Kanal D            (2017) (Turkey) (TV)'],0.0,0.0,0.0062137588542166,1.2324014917121198,0.0,6.598579112863242,7.87990043884354,1,0,0,2
351,Otisabi,[],0,[],0.0,0.01884785151450504,0.0,-1.4436462724183952,0.0,0.0,4.597631851592044,1,0,0,2
352,Hizmetçiler,[],0,['Kanal D            (2020) (Turkey) (TV)'],0.0,0.13037603988382934,3.2787008286107655,1.1607554354724297,0.4638406261947136,6.598579112863242,7.87990043884354,1,0,0,1
353,Süper babaanne,[],0,['Turkish Radio & Television (TRT)            (2008) (Turkey) (TV)'],0.0,1.5977423400699635,0.013369835136153752,-1.2505484506460185,1.119779276204735,3.4153287655246443,2.7345491744010686,1,0,0,1
354,Duvar,[],0,['ATV            (2007) (Turkey) (TV)'],0.0,1.2436220679532657,0.0,0.9390855044069564,0.013145930585304107,4.5762750674517205,5.9886738822064425,1,0,0,2
355,Camdan pabuçlar,[],0,['ATV            (2004) (Turkey) (TV)'],0.0,0.0,0.028839151394919767,-1.1001957165556828,0.0,4.663679199724412,4.347539588580695,1,0,0,1
356,Tutku cemberi,[],0,[],0.0,0.5647351302783928,0.0,-0.2392291348432527,0.4220278873307255,0.0,7.87990043884354,1,0,0,1
357,Kara duvak,[],0,['Show TV            (2007) (Turkey) (TV)'],0.0,1.411514075044726,0.0,-0.8865408967868367,-0.2257839731709104,4.504830945195452,7.87990043884354,1,0,0,1
358,Hayat Sirlari,[],0,['Star TV            (2017) (Turkey) (TV)'],0.0,0.4586016819300557,0.06060469778684353,1.235633161403639,1.1212512299256834,5.956818276932419,7.87990043884354,1,0,0,2
359,Aptal Çocuklar,[],Turkey:15+,[],0.0,0.00609421294335606,0.0,0.0,0.0,-0.5506174470084743,4.597631851592044,1,0,2,2
360,Leke,[],Turkey:7+,['Kanal D            (2019) (Turkey) (TV)'],0.0,0.5207930398896655,3.292201648971436,0.8303578212416955,2.502428533769752,6.598579112863242,5.9886738822064425,1,0,4,2
361,Canim babam,[],0,[],0.0,0.0,0.0062137588542166,-0.2360980496697529,0.0,0.0,4.597631851592044,1,0,0,1
362,Kocaman Ailem,[],0,['ATV            (2018) (Turkey) (TV)'],0.0,0.524952734488651,3.2824825534982502,1.0361930125736925,-0.12986720387732975,4.663679199724412,3.177374124637893,1,0,0,2
363,Asktan Kaçilmaz,[],0,"['Netflix            (2018) (Turkey) (video)', 'Puhu TV            (2017) (Turkey) (video)', 'Star TV            (2014) (Turkey) (TV)']",0.0,2.1482050890440902,3.2787008286107655,-1.0635311658524709,0.2796814557587459,5.2834115395576395,5.9886738822064425,1,0,0,2
364,Sinekli bakkal,[],0,['ATV            (2008) (Turkey) (TV)'],0.0,1.411514075044726,0.0,-0.9840147865936936,0.0,4.663679199724412,7.87990043884354,1,0,0,1
365,Dostlar Duragi,[],0,[],0.0,2.1482050890440902,0.053817989096337504,-1.0605635453047153,0.2796814557587459,0.0,3.177374124637893,1,0,0,1
366,Görevimiz komedi,[],0,[],0.0,0.0,0.0,-0.5436744764894519,0.0,0.0,4.597631851592044,1,0,0,1
367,Vurgun,[],0,['Fox TV            (2019) (Turkey) (all media)'],0.0,3.7987776268105753,1.8470443564875656,1.5764405040432783,1.3652184380255603,1.862724399251212,7.87990043884354,1,0,0,2
368,Hayati ve Digerleri,[],0,['Kanal D            (2017) (Turkey) (TV)'],0.0,0.16539247269723356,3.2787008286107655,-1.127874225875594,0.5124480002273305,6.598579112863242,4.597631851592044,1,0,0,1
369,Yol Ayrimi,[],0,['TRT 1            (2012) (Turkey) (TV)'],0.948096577595362,1.7389378488254337,0.4520413623540576,1.3548705938538277,0.03076230348985098,2.386544289755113,5.489688408203671,1,0,0,2
370,Çocuk,[],0,['Star TV            (2019) (Turkey) (TV)'],0.0,0.2243449840520204,0.35227965569427977,-0.8663798490712746,1.5847835564081698,5.956818276932419,7.87990043884354,1,0,0,2
371,Gülümse Yeter,[],0,['Show TV            (2016) (Turkey) (TV)'],4.193375273595012,1.918061449937724,0.3687634984086001,-0.9507570189123458,1.1279229556067591,4.520790955211873,4.347539588580695,1,0,0,2
372,Hayat Mucizelere Gebe,[],0,['Kanal D            (2015) (Turkey) (TV)'],0.0,2.6997508915965627,0.3687634984086001,1.2578025771933308,2.425497200501624,6.598579112863242,5.524993205334977,1,0,0,2
373,Zehirli çiçek,[],0,['Show TV            (2000) (Turkey) (TV)'],0.0,2.1482050890440902,0.38089793780459935,-1.268459178760241,0.2796814557587459,4.520790955211873,7.87990043884354,1,0,0,1
374,Pusat,[],0,['Show TV            (2007) (Turkey) (TV)'],0.0,2.0374908093777546,0.4177915783964048,-1.2582287301204589,1.157712688255924,4.520790955211873,5.140288555577451,1,0,0,2
375,Hayat Agaci,[],0,['Turkish Radio & Television (TRT)            (2014) (Turkey) (TV)'],0.0,2.4155806683471086,3.067989786855298,1.3606890841238306,2.2289703643794576,3.4153287655246443,7.87990043884354,1,0,0,1
376,Adi Mutluluk,[],0,['Fox TV            (2015) (Turkey) (TV)'],0.0,3.1038265814848702,0.4366154856774585,-0.9888809386050434,0.8328662138054457,1.862724399251212,5.524993205334977,1,0,0,1
377,Evlat Kokusu,[],0,['Endemol Shine Turkey            (2017) (World-wide) (TV)'],0.0,0.5763139139439596,0.4366154856774585,-0.997025913116376,-0.1254635677528083,-0.9485913799425574,7.87990043884354,1,0,0,2
378,Sen Çal Kapimi,[],0,[],0.0,1.918061449937724,3.010262449052518,1.2340680390632863,0.6620839924867805,0.0,4.347539588580695,1,0,0,2
379,Keskin Bicak,[],0,[],0.0,0.1154893100505097,0.4520413623540576,-0.938973035730178,0.1686404265820165,0.0,3.443517902319465,1,0,0,2
380,Ah Neriman,[],0,['Show TV            (2014) (Turkey) (TV)'],0.0,3.1038265814848702,0.3163474097937995,1.2303777035770311,1.0186618048520757,4.520790955211873,4.597631851592044,1,0,0,1
381,Çilgin Dersane Üniversitede,[],0,['Show TV            (2014) (Turkey) (TV)'],0.0,0.0,0.4520413623540576,-0.8126641906809431,0.0,4.520790955211873,4.597631851592044,1,0,0,1
382,Kurt Kanunu,[],0,['TRT 1            (2012) (Turkey) (TV)'],0.948096577595362,1.7389378488254337,0.4520413623540576,1.2195113737108956,0.03076230348985098,2.386544289755113,4.404621720579279,1,0,0,2
383,Ask Yakar,[],0,['Kanal D            (2008) (Turkey) (TV)'],0.0,0.005586312047057765,0.4520413623540576,-0.5608250561923329,0.4086368479024811,6.598579112863242,7.87990043884354,1,0,0,1
384,Klavye Delikanlilari,[],0,[],0.0,3.1038265814848702,0.4560576131205032,1.0522769867834878,0.8328662138054457,0.0,4.597631851592044,1,0,0,2
385,Lise devriyesi,[],0,"['Turkish Radio & Television (TRT)            (2017) (Turkey) (TV)', 'TRT 1            (2017) (Turkey) (TV)']",0.0,0.3696151420847503,0.4560576131205032,0.8408516398182739,-0.2715526892380812,3.900936527639879,3.782884392754628,1,0,0,1
386,Derdest,[],0,['Star TV            (2008) (Turkey) (TV)'],0.0,2.2827489970048656,2.9336842890364627,1.3021704793417237,1.61984453048765,5.956818276932419,7.87990043884354,1,0,0,2
387,Lahmacun ve pizza,[],0,[],0.0,0.0,0.4736279407630617,-0.8311080653523852,0.0,0.0,4.597631851592044,1,0,0,1
388,Dünya varmis,[],0,[],0.2362617485698921,1.166717853661873,0.4736279407630617,-1.1463757448733416,0.35744134837165364,0.0,4.597631851592044,1,0,0,1
